date,USA GDP Revisions
198910,2.0735667
198911,1.8711583
198912,1.7643
199001,2.8030583
199002,1.83425
199003,1.893675
199004,2.0842
199005,2.2356667
199006,2.08475
199007,2.0150833
199008,1.8791333
199009,0.997
199010,0.63985
199011,0.27604167
199012,0.1348
199101,-0.13585833
199102,0.14953333
199103,0.448775
199104,0.63503333
199105,0.78445833
199106,1.1004
199107,1.4741667
199108,1.6569333
199109,1.915775
199110,2.0926667
199111,2.1699333
199112,1.9
199201,1.6995833
199202,1.86
199203,1.94475
199204,2.2333333
199205,2.4500833
199206,2.59
199207,2.5480833
199208,2.5
199209,2.5445
199210,2.504
199211,2.4231667
199212,2.682
199301,2.829
199302,3.0148333
199303,3.169
199304,3.22
199305,3.114
199306,2.911
199307,2.88625
199308,2.822
199309,2.738
199310,2.7378333
199311,2.8249167
199312,2.859
199401,3.019
199402,3.1973333
199403,3.38925
199404,3.4523333
199405,3.3370833
199406,3.287
199407,3.21775
199408,3.0766667
199409,2.97575
199410,2.879
199411,2.8770833
199412,3.013
199501,3.0186667
199502,3.0026667
199503,2.95325
199504,2.9483333
199505,2.8426667
199506,2.713
199507,2.62325
199508,2.65
199509,2.67925
199510,2.7018333
199511,2.7533333
199512,2.672
199601,2.6704167
199602,2.0608333
199603,2.0205
199604,2.0486667
199605,2.1995833
199606,2.222
199607,2.2376667
199608,2.278
199609,2.36675
199610,2.3496667
199611,2.35
199612,2.348
199701,2.3779167
199702,2.5645
199703,2.54875
199704,2.66
199705,2.86325
199706,2.823
199707,2.80825
199708,2.6696667
199709,2.75475
199710,2.7933333
199711,2.6911667
199712,2.585
199801,2.5410833
199802,2.583
199803,2.53
199804,2.607
199805,2.7438333
199806,2.75
199807,2.67925
199808,2.616
199809,2.4365
199810,2.2331667
199811,2.14725
199812,2.304
199901,2.4249167
199902,2.9313333
199903,3.05775
199904,3.0476667
199905,3.21625
199906,3.1805
199907,3.2031667
199908,3.047
199909,2.993
199910,3.0301667
199911,3.1925
199912,3.354
200001,3.5798333
200002,3.7641667
200003,4.01525
200004,4.072
200005,4.1328333
200006,4.023
200007,3.834
200008,3.9496667
200009,4.0305
200010,3.8561667
200011,3.5544167
200012,2.996
200101,2.6744167
200102,2.28
200103,2.27875
200104,2.202
200105,2.3778333
200106,2.402
200107,2.3751667
200108,2.473
200109,2.399
200110,1.1728333
200111,0.77233333
200112,0.896
200201,1.1561667
200202,1.9013333
200203,2.47175
200204,2.8856667
200205,3.1056667
200206,3.1415
200207,3.2381667
200208,2.863
200209,2.91075
200210,2.9246667
200211,2.6384167
200212,2.688
200301,2.77615
200302,2.76845
200303,2.749975
200304,2.7599333
200305,2.8180833
200306,2.93875
200307,3.0579833
200308,3.2619
200309,3.595175
200310,3.7548
200311,4.1344167
200312,4.43
200401,4.5355167
200402,4.4557167
200403,4.401075
200404,4.2947333
200405,4.2760583
200406,4.21725
200407,4.0599917
200408,3.8868
200409,3.6737
200410,3.6451
200411,3.4693167
200412,3.5223
200501,3.5625583
200502,3.4691167
200503,3.6277
200504,3.6116667
200505,3.3625917
200506,3.36695
200507,3.3710833
200508,3.4309667
200509,3.331125
200510,3.3166833
200511,3.3120417
200512,3.4114
200601,3.3567083
200602,3.2074833
200603,3.250075
200604,3.1940667
200605,3.1837583
200606,3.1136
200607,3.0561417
200608,2.9235667
200609,2.82375
200610,2.7496167
200611,2.5446917
200612,2.3446
200701,2.4692
200702,2.7159167
200703,2.57155
200704,2.5059
200705,2.3922917
200706,2.4766
200707,2.52275
200708,2.4032
200709,2.298875
200710,2.2906333
200711,2.2774333
200712,2.0983
200801,2.0340333
200802,1.7818667
200803,1.62455
200804,1.5877
200805,1.5852083
200806,1.59695
200807,1.50015
200808,1.4763667
200809,1.4849605
200810,0.27205
200811,-0.44525142
200812,-1.313
200901,-1.42425
200902,-1.417
200903,-1.68475
200904,-1.2423333
200905,-0.93416667
200906,-0.441
200907,0.11733333
200908,0.67266667
200909,1.18875
200910,1.7438333
200911,2.2835833
200912,2.682
201001,2.9248333
201002,3.0931667
201003,3.099
201004,3.1243333
201005,3.2198333
201006,3.1885
201007,3.04525
201008,2.803
201009,2.4965
201010,2.4245
201011,2.41175
201012,2.66
201101,3.2025833
201102,3.2476667
201103,3.13525
201104,3.0423333
201105,2.8891667
201106,2.8145
201107,2.7823333
201108,2.1943333
201109,2.0075
201110,1.8848333
201111,2.0366667
201112,2.119
201201,2.26425
201202,2.2928333
201203,2.34425
201204,2.397
201205,2.388
201206,2.3005
201207,2.2296667
201208,2.1623333
201209,2.13425
201210,2.0266667
201211,1.9593333
201212,1.923
201301,2.0785
201302,2.0373333
201303,2.078
201304,2.292
201305,2.2528333
201306,2.3265
201307,2.339
201308,2.257
201309,2.40725
201310,2.4021667
201311,2.4790833
201312,2.57
201401,2.8408333
201402,2.9191667
201403,2.85125
201404,2.8133333
201405,2.7163333
201406,2.635
201407,2.431
201408,2.7256667
201409,2.827
201410,NaN
